"","Area.Code","Area.Name","Time.period","Value","Decile"
"57517","A81051","Cambridge Medical Group",2019,28.41891,7
"57518","A81052","The Green House Surgery",2019,29.42239419,8
"57519","A81053","Woodside Surgery",2019,36.88232059,9
"57520","A81054","The Saltscar Surgery",2019,30.26605486,8
"57521","A81056","Melrose Surgery",2019,24.1716921,6
"57522","A81057","Kingsway Medical Centre",2019,26.19803912,7
"57523","A81058","Coulby Medical Practice",2019,29.30668438,8
"57524","A81060","The Koh Practice",2019,33.12854462,8
"57525","A81063","The Headland Medical Centre",2019,37.62924613,9
"57526","A81064","The Discovery Practice",2019,46.1153732,10
"57527","A81065","The Eston Surgery",2019,49.16234326,10
"57528","A81066","Park Lane Surgery",2019,16.08137197,4
"57529","A81067","Alma Medical Centre",2019,40.51026596,10
"57530","A81070","Mckenzie Group Practice",2019,31.31711076,8
"57531","A81602","Dr Rasool",2019,21.72787633,6
"57532","A81608","Elm Tree Surgery",2019,38.9923193,9
"57533","A81610","The Roseberry Practice",2019,23.33127092,6
"57534","A81611","Parkway Medical Centre",2019,28.8155197,7
"57535","A81612","The Patel Practice",2019,23.41244905,6
"57536","A81618","Huntcliff Surgery",2019,20.89523695,5
"57537","A81621","Thorntree Surgery",2019,67.40740788,10
"57538","A81622","Gladstone House Surgery",2019,40.39522356,10
"57539","A81629","Riverside Medical Practice",2019,38.51984913,9
"57540","A81630","Foundations",2019,57.89398644,10
"57541","A81631","West View Millenium Surgery A",2019,35.48259456,9
"57542","A81632","Lawson Street Practice",2019,49.82524324,10
"57543","A81633","Foundations -Harris Street",2019,62.98951579,10
"57544","A81634","The Arrival Practice",2019,59.15179074,10
"57545","A82003","Ulverston Health Centre (Murray)",2019,14.57892826,3
"57546","A82004","Alston Medical Practice",2019,20.10173872,5
"57547","A82005","Ambleside Health Centre",2019,12.58326118,2
"57548","A82006","Appleby Medical Practice",2019,15.88497829,4
"57549","A82007","Duke Street Surgery",2019,35.34187825,9
"57550","A82008","Norwood Medical Centre",2019,32.31908057,8
"57551","A82009","Bridgegate Medical Centre",2019,33.33581017,9
"57552","A82010","Abbey Road Surgery",2019,26.73957171,7
"57553","A82012","Brampton Medical Practice",2019,14.18831259,3
"57554","A82013","Upper Eden Medical Practice",2019,20.56862815,5
"57555","A82014","Caldbeck Surgery",2019,17.63140964,4
"57556","A82015","Warwick Road Surgery",2019,27.80747266,7
"57557","A82016","Carlisle Healthcare",2019,22.7083934,6
"57558","A82018","Spencer St Surgery",2019,23.52692056,6
"57559","A82019","Fusehill Medical Practice",2019,24.48907915,6
"57560","A82020","Eden Medical Group",2019,24.62371007,6
"57561","A82021","Castlegate and Derwent Surgery",2019,13.41072608,3
"57562","A82022","Dalston Medical Group",2019,14.93832639,3
"57563","A82023","Distington Surgery",2019,23.88475893,6
"57564","A82024","Seascale Health Centre",2019,14.46701636,3
"57565","A82025","Captain French Surgery",2019,14.39839285,3
"57566","A82026","The James Cochrane Pract.",2019,12.50949903,2
"57567","A82027","Station House Surgery",2019,13.55844133,3
"57568","A82028","Castlehead Medical Centre",2019,12.62575785,2
"57569","A82029","The Croft Surgery",2019,18.70936406,5
"57570","A82030","Lunesdale Surgery",2019,11.60198722,2
"57571","A82031","Shap Medical Practice",2019,15.69705813,4
"57572","A82032","Maryport Health Services",2019,30.21792119,8
"57573","A82033","Waterloo House Surgery",2019,27.27439253,7
"57574","A82034","Stoneleigh Surgery",2019,8.659460155,1
"57575","A82035","Birbeck Medical Group",2019,14.88709934,3
"57576","A82036","The Lakes Medical Practice",2019,14.96139191,3
"57577","A82037","Silloth Group Medical Practice",2019,24.4071086,6
"57578","A82038","Temple Sowerby Medical Practice",2019,15.89251872,4
"57579","A82039","Dalton Surgery",2019,19.09339794,5
"57580","A82041","Lowther Medical Centre",2019,27.70845082,7
"57581","A82044","Fellview Healthcare",2019,25.9900761,7
"57582","A82045","Wigton Group Medical Practice",2019,19.00752654,5
"57583","A82046","Windermere Health Centre",2019,12.30606465,2
"57584","A82047","James Street Group Pract",2019,30.40453598,8
"57585","A82048","Beechwood Group Practice",2019,28.5246717,7
"57586","A82049","Orchard House Surgery",2019,30.36588738,8
"57587","A82050","Oxford Street Surgery",2019,27.81616843,7
"57588","A82053","Nutwood Medical Practice",2019,11.45818382,2
"57589","A82055","Aspatria Medical Group",2019,22.23774092,6
"57590","A82058","Queen Street Medical Practice",2019,24.37733966,6
"57591","A82060","Whitehaven Medical Centre",2019,26.741625,7
"57592","A82062","Atkinson Health Centre",2019,37.81485085,9
"57593","A82064","Westcroft House Surgery",2019,21.94888961,6
"57594","A82065","Peninsula Medical Practice",2019,11.71373984,2
"57595","A82068","Ulverston Community Health Centre",2019,15.37603811,3
"57596","A82070","St.Mary's Surgery",2019,12.44841314,2
"57597","A82071","Burnett Edgar Medical Ctr",2019,27.72602744,7
"57598","A82072","Risedale Surgery",2019,33.63027951,9
"57599","A82075","Mansion House Surgery",2019,28.86767648,7
"57600","A82077","Liverpool House Surgery",2019,30.86164155,8
"57601","A82608","Sedbergh Medical Practice",2019,15.45732873,4
"57602","A82613","Wraysdale House Surgery",2019,13.93758949,3
"57603","A82617","Kirkoswald Surgery",2019,14.24110852,3
"57604","A82620","Glenridding Health Centre",2019,17.77056618,4
"57605","A82621","Askam Surgery",2019,19.13919477,5
"57606","A82623","Solway Health Services",2019,29.55294526,8
"57607","A82629","The Family Practice",2019,38.56316913,9
"57608","A82631","Court Thorn Surgery",2019,14.81447223,3
"57609","A82646","Longtown Medical Centre",2019,31.14498168,8
"57610","A82647","Cartmel Surgery",2019,11.54849889,2
"57611","A82650","Haverthwaite Surgery",2019,15.55939691,4
"57612","A82651","Duddon Valley Medical Practice",2019,13.80259664,3
"57613","A82654","Warwick Square Group Practice",2019,24.94389465,7
"57614","A83001","St andrew's Medical Practice",2019,26.4540396,7
"57615","A83003","Willington Medical Group",2019,34.83759727,9
"57616","A83004","Avenue Family Practice",2019,32.06122994,8
"57617","A83005","Whinfield Medical Practice",2019,25.95837375,7
"57618","A83006","Orchard Court Surgery",2019,26.40101756,7
"57619","A83007","Blackhall and Peterlee Practice",2019,40.22311745,10
"57620","A83008","Hallgarth Surgery",2019,42.44180829,10
"57621","A83009","Bridge End Surgery",2019,20.29811546,5
"57622","A83010","Moorlands Surgery",2019,22.69267617,6
"57623","A83011","Claypath & University Medical Group",2019,10.9044101,2
"57624","A83012","William Brown Centre",2019,38.71363362,9
"57625","A83013","Neasham Road Surgery",2019,34.0324891,9
"57626","A83014","Belmont & Sherburn Medical Group",2019,18.45337332,5
"57627","A83015","Station View Medical Centre",2019,32.17349916,8
"57628","A83016","Tanfield View Medical Group",2019,32.20901291,8
"57629","A83017","Phoenix Medical Group",2019,36.22085943,9
"57630","A83018","Consett Medical Centre",2019,22.67427875,6
"57631","A83020","North House Surgery",2019,29.74618581,8
"57632","A83021","Auckland Medical Group",2019,32.00584413,8
"57633","A83022","The Medical Group",2019,25.42832636,7
"57634","A83023","Stanley Medical Group",2019,33.771525,9
"57635","A83024","West Rainton Surgery",2019,26.95895781,7
"57636","A83025","Bishopgate Medical Centre",2019,35.88131611,9
"57637","A83026","Sacriston Medical Centre",2019,23.98608946,6
"57638","A83027","Coxhoe Medical Practice",2019,19.01399048,5
"57639","A83028","Middle Chare Medical Group",2019,20.15829479,5
"57640","A83029","Great Lumley Surgery",2019,16.01175415,4
"57641","A83030","Dunelm Medical Practice",2019,21.1177036,5
"57642","A83031","Carmel Medical Practice",2019,17.36154685,4
"57643","A83032","Woodview Medical Practice",2019,25.44689609,7
"57644","A83033","Pelton & Fellrose Medical Group",2019,26.01225844,7
"57645","A83034","Blacketts Medical Practice",2019,25.66136158,7
"57646","A83035","The Weardale Practice",2019,19.45499191,5
"57647","A83036","Chastleton Medical Group",2019,9.709860587,1
"57648","A83037","Bewick Crescent Surgery",2019,24.87895763,6
"57649","A83038","Cedars Medical Group",2019,18.48689782,5
"57650","A83040","Clifton Court Medical Practice",2019,33.81978039,9
"57651","A83041","Murton Medical Centre",2019,31.72023701,8
"57652","A83043","Old Forge Surgery",2019,19.22340435,5
"57653","A83044","The Horden Group Practice",2019,43.30221006,10
"57654","A83045","Ferryhill and Chilton Medical Practice",2019,34.00681414,9
"57655","A83046","Barnard Castle Surgery",2019,15.11418742,3
"57656","A83047","Denmark Street Surgery",2019,30.0275925,8
"57657","A83048","Rockliffe Court Surgery",2019,11.6867727,2
"57658","A83049","Queens Road Surgery",2019,20.39322553,5
"57659","A83050","Cestria Health Centre",2019,19.2427999,5
"57660","A83051","Marlborough Surgery",2019,28.46756436,7
"57661","A83052","Bishops Close Medical Practice",2019,27.06834726,7
"57662","A83054","Skerne Medical Group",2019,20.81830858,5
"57663","A83055","Cheveley Park Medical Ctr",2019,12.15742604,2
"57664","A83057","East Durham Medical Group",2019,41.93922984,10
"57665","A83060","Pinfold Medical Practice",2019,22.05548735,6
"57666","A83061","Gainford Surgery",2019,13.7635523,3
"57667","A83066","Jubilee Medical Group",2019,32.28503773,8
"57668","A83070","St George's Medical Practice",2019,10.92339406,2
"57669","A83071","The New Seaham Medical Group",2019,27.80800851,7
"57670","A83072","Lanchester Medical Centre",2019,13.6341306,3
"57671","A83073","Drs Lambert & Ng",2019,33.50455695,9
"57672","A83074","Pease Way Medical Centre",2019,29.62419112,8
"57673","A83075","Byron Medical Practice",2019,29.30454671,8
"57674","A83603","Oxford Road Medical Practice",2019,27.38251564,7
"57675","A83610","Wingate Medical Practice Intrahealth",2019,34.2427697,9
"57676","A83616","Bevan Medical Group",2019,39.57074182,9
"57677","A83617","Browney House Surgery",2019,22.26005109,6
"57678","A83618","Oakfields Health Group",2019,24.4442419,6
"57679","A83619","Southdene Medical Centre",2019,41.5638028,10
"57680","A83622","The Haven Surgery",2019,25.95400061,7
"57681","A83626","Evenwood Medical Practice",2019,32.24967499,8
"57682","A83627","Silverdale Family Practice",2019,35.44039273,9
"57683","A83630","Denholm House",2019,28.81751747,7
"57684","A83632","Craghead Medical Centre",2019,35.03116428,9
"57685","A83634","West Cornforth Medical Centre",2019,37.31337609,9
"57686","A83635","Bowburn Medical Centre",2019,20.12189781,5
"57687","A83636","Leadgate Surgery",2019,25.8918776,7
"57688","A83637","Gardiner Crescent",2019,29.12166208,8
"57689","A83641","Parkgate Surgery",2019,38.10310918,9
"57690","A83644","Annfield Plain Surgery",2019,33.33594104,9
"57691","A84002","The Rothbury Practice",2019,16.63894949,4
"57692","A84003","Lintonville Medical Group",2019,35.129876,9
"57693","A84005","Bedlingtonshire Med.Group",2019,23.54605016,6
"57694","A84006","Alnwick Medical Group",2019,15.01503338,3
"57695","A84007","Ponteland Medical Group",2019,8.739824692,1
"57696","A84008","Belford Medical Practice",2019,21.45775128,5
"57697","A84009","Railway Medical Group",2019,36.93094062,9
"57698","A84011","White Medical Group",2019,8.853483541,1
"57699","A84013","The Gables Medical Group",2019,30.41736482,8
"57700","A84014","Marine Medical Group",2019,34.44271039,9
"57701","A84015","Laburnum Surgery",2019,41.64017111,10
"57702","A84016","Prudhoe Medical Group",2019,13.39918114,3
"57703","A84018","Corbridge Health Centre",2019,10.34350745,2
"57704","A84020","Guidepost Medical Group",2019,26.69204959,7
"57705","A84022","Coquet Medical Group",2019,23.86529827,6
"57706","A84024","Burn Brae Medical Group",2019,13.27432044,3
"57707","A84025","Cramlington Medical Group",2019,24.94460944,7
"57708","A84026","Well Close Medical Group",2019,22.35307978,6
"57709","A84027","Bellingham Practice",2019,17.86580214,4
"57710","A84028","Seaton Park Medical Group",2019,33.06413324,8
"57711","A84029","Widdrington Surgery",2019,19.54528453,5
"57712","A84030","Village Medical Group",2019,21.40992634,5
"57713","A84031","Greystoke Surgery",2019,13.90738002,3
"57714","A84032","Cheviot Medical Group",2019,20.09015887,5
"57715","A84033","The Sele Medical Practice",2019,13.26878067,3
"57716","A84034","Haltwhistle Medical Group",2019,20.42784778,5
"57717","A84035","Riversdale Surgery",2019,12.16722321,2
"57718","A84036","Wellway Medical Group",2019,25.29260344,7
"57719","A84037","Netherfield House",2019,22.45095007,6
"57720","A84038","Forum Family Practice",2019,21.07838876,5
"57721","A84039","Gas House Lane Surgery",2019,14.30328681,3
"57722","A84040","Humshaugh & Wark Med Grp",2019,14.15747065,3
"57723","A84042","Scots Gap Medical Group",2019,16.19627671,4
"57724","A84043","Brockwell Medical Group",2019,18.49071991,5
"57725","A84044","Union Brae & Norham Prac",2019,22.61660533,6
"57726","A84045","Haydon Bridge & Allendale Medical Pract",2019,16.41040491,4
"57727","A84047","Branch End Surgery",2019,10.10024463,2
"57728","A84604","The Glendale Surgery",2019,19.84537317,5
"57729","A84609","Felton Surgery",2019,9.360361568,1
"57730","A84614","The Adderlane Surgery",2019,15.90676579,4
"57731","A84619","Elsdon Avenue Surgery",2019,20.65807135,5
"57732","A85001","Fell Tower Medical Centre",2019,21.01075361,5
"57733","A85002","Bensham Family Practice",2019,33.35337407,9
"57734","A85003","Rowlands Gill Medical Centre",2019,20.49315408,5
"57735","A85004","Longrigg Medical Centre",2019,32.92865792,8
"57736","A85005","Oxford Tce & Rawling Rd Medical Group",2019,35.48454994,9
"57737","A85006","Glenpark Medical Centre",2019,25.5058145,7
"57738","A85007","Fell Cottage Surgery",2019,20.75896724,5
"57739","A85008","Birtley Medical Group",2019,25.62410928,7
"57740","A85009","Crowhall Medical Centre",2019,38.14332509,9
"57741","A85010","Chainbridge Medical Partnership",2019,21.48743406,5
"57742","A85011","St. Albans Medical Group",2019,40.66669098,10
"57743","A85012","Metro Interchange Surgery",2019,42.74219616,10
"57744","A85013","Millennium Family Practice",2019,35.6601023,9
"57745","A85014","Crawcrook Medical Centre",2019,14.5037643,3
"57746","A85016","Wrekenton Medical Group",2019,36.35154044,9
"57747","A85017","Bewick Road Surgery",2019,33.77648936,9
"57748","A85018","Oldwell Surgery",2019,25.27564612,7
"57749","A85019","Central Gateshead Medical Group",2019,36.9040912,9
"57750","A85020","Whickham Cottage Medical Centre",2019,15.27350806,3
"57751","A85021","Second Street Surgery",2019,35.5265895,9
"57752","A85023","Teams Medical Practice",2019,36.78639149,9
"57753","A85024","Chopwell Primary Healthcare Centre",2019,35.89615024,9
"57754","A85026","Beacon View Medical Centre",2019,33.01888093,8
"57755","A85609","108 Rawling Road(Rawling Road Practice)",2019,28.27899936,7
"57756","A85611","Pelaw Medical Practice",2019,24.07456631,6
"57757","A85614","The Bridges Medical Practice",2019,35.43650084,9
"57758","A85616","Hollyhurst Medical Centre",2019,20.12720209,5
"57759","A85617","Sunniside Surgery",2019,16.01248257,4
"57760","A85620","Grange Road Medical Practice",2019,16.53773659,4
"57761","A86003","Saville Medical Group",2019,25.96558846,7
"57762","A86004","Prospect Medical Centre",2019,42.38999102,10
"57763","A86005","West Farm Surgery",2019,25.43893875,7
"57764","A86006","Roseworth Surgery",2019,13.88013554,3
"57765","A86007","Avenue Medical Practice",2019,10.20541899,2
"57766","A86008","Park Medical Group",2019,22.28173869,6
"57767","A86010","Biddlestone Health Group",2019,18.18021885,4
"57768","A86011","Walker Medical Group",2019,51.65438949,10
"57769","A86012","West Road Medical Centre",2019,40.09562512,9
"57770","A86013","Denton Park Medical Group",2019,35.96570398,9
"57771","A86015","Holly Medical Group",2019,9.851485577,1
"57772","A86016","Lane End Surgery",2019,15.9451398,4
"57773","A86017","Cruddas Park Surgery",2019,49.06542295,10
"57774","A86018","The Grove Medical Group",2019,11.31010424,2
"57775","A86020","The Surgery-Osborne Road",2019,9.070967219,1
"57776","A86021","Holmside Medical Group",2019,37.96354536,9
"57777","A86022","Parkway Medical Group",2019,20.75089697,5
"57778","A86023","Benfield Park Medical Group",2019,34.62080983,9
"57779","A86024","Heaton Road Surgery",2019,39.59174729,9
"57780","A86025","Westerhope Medical Group",2019,40.50885919,10
"57781","A86026","Throckley Primary Care Centre",2019,29.33572562,8
"57782","A86027","Newcastle Medical Centre",2019,23.11119474,6
"57783","A86028","Regent Medical Centre",2019,18.27416829,4
"57784","A86029","Thornfield Medical Group",2019,38.54524126,9
"57785","A86030","Betts Avenue Medical Group",2019,40.50295755,10
"57786","A86031","Fenham Hall Surgery",2019,34.60042102,9
"57787","A86033","Brunton Park",2019,9.327367122,1
"57788","A86035","Broadway Medical Centre",2019,17.34584724,4
"57789","A86036","Gosforth Memorial Med.Ctr",2019,13.39327023,3
"57790","A86037","Elswick Family Practice",2019,51.80747859,10
"57791","A86038","Newburn Surgery",2019,32.01381591,8
"57792","A86040","St.Anthony's Health Centre",2019,58.84881006,10
"57793","A86041","Swarland Avenue Surgery",2019,16.86608463,4
"57794","A86601","Denton Turret Medical Centre",2019,31.77981584,8
"57795","A87002","Spring Terrace Health Centre",2019,29.92628672,8
"57796","A87003","Portugal Place Health Ctr",2019,29.3110332,8
"57797","A87004","Collingwood Surgery",2019,27.87734053,7
"57798","A87005","Whitley Bay Health Centre",2019,13.3463563,3
"57799","A87006","49 Marine Avenue Surgery",2019,11.62831328,2
"57800","A87007","Forest Hall Health Centre",2019,17.50068753,4
"57801","A87008","Marine Avenue Medical Ctr",2019,10.85634401,2
"57802","A87009","Priory Medical Group",2019,21.77109972,6
"57803","A87011","Beaumont Park Surgery",2019,9.989522663,1
"57804","A87012","Wideopen Medical Centre",2019,21.46008715,5
"57805","A87013","Bewicke Medical Centre",2019,32.52170422,8
"57806","A87015","Appleby Surgery",2019,25.70543168,7
"57807","A87016","The Village Green Surgery",2019,28.10961325,7
"57808","A87017","Woodlands Park Health Ctr",2019,15.56602483,4
"57809","A87019","Nelson Medical Group",2019,30.45632488,8
"57810","A87020","Monkseaton Medical Centre",2019,10.09227049,2
"57811","A87022","Northumberland Park Medical Group",2019,20.89033697,5
"57812","A87023","Bridge Medical",2019,20.9969575,5
"57813","A87027","Garden Park Surgery",2019,28.92606014,8
"57814","A87029","Park Road Medical Pract",2019,29.83574709,8
"57815","A87030","Redburn Park Medical Centre",2019,44.01188062,10
"57816","A87600","Park Parade Practice",2019,13.87380073,3
"57817","A87612","Wellspring Medical Pract.",2019,18.58011393,5
"57818","A87615","Mallard Medical Practice",2019,18.35943956,4
"57819","A88001","Victoria Medical Centre",2019,30.3988818,8
"57820","A88002","Farnham Medical Ctr.",2019,35.71636238,9
"57821","A88003","Marsden Rd. Health Centre",2019,28.8749698,7
"57822","A88004","Mayfield Medical Group",2019,33.75971732,9
"57823","A88005","Wenlock Road Surgery",2019,38.81021186,9
"57824","A88006","Talbot Medical Centre",2019,38.50131991,9
"57825","A88007","Wawn Street Surgery",2019,32.47897689,8
"57826","A88008","Trinity Medical Centre",2019,37.75648574,9
"57827","A88009","Dr Thorniley-Walker & Partners",2019,20.40025449,5
"57828","A88010","Albert Road Surgery",2019,33.4981489,9
"57829","A88012","Ellison View Surgery",2019,32.0606872,8
"57830","A88013","Central Surgery",2019,32.01654786,8
"57831","A88014","Stanhope Parade Health Centre",2019,38.15799107,9
"57832","A88015","St George & Riverside Medical Practice",2019,37.67224973,9
"57833","A88016","Colliery Court Medical Group",2019,19.51594951,5
"57834","A88022","The Glen Medical Group",2019,30.28993606,8
"57835","A88023","Whitburn Surgery",2019,16.60391191,4
"57836","A88025","The G.P.Suite",2019,35.24250398,9
"57837","A88601","Imeary Street Practice",2019,29.99296205,8
"57838","A88603","The Park Surgery",2019,32.77666738,8
"57839","A88608","Ravensworth Surgery",2019,33.80232512,9
"57840","A88613","East Wing Practice",2019,35.88153756,9
"57841","A89001","Deerness Park Medical Group",2019,39.27753943,9
"57842","A89002","Dr Bhate Surgery",2019,44.44218896,10
"57843","A89004","Hetton Group Practice",2019,36.04943669,9
"57844","A89005","Villette Surgery",2019,32.30403714,8
"57845","A89006","Wearside Medical Practice - Pallion",2019,34.82466859,9
"57846","A89007","Pallion Family Practice",2019,31.60547903,8
"57847","A89008","Red House Medical Centre",2019,41.3140159,10
"57848","A89009","Herrington Medical Centre",2019,24.69319225,6
"57849","A89010","Dr Stephenson & Partners",2019,26.23961715,7
"57850","A89011","Joshi Na",2019,25.70279852,7
"57851","A89012","Galleries Medical Practice",2019,26.33479422,7
"57852","A89013","The New City Medical Group",2019,38.56377841,9
"57853","A89015","Fulwell Medical Centre",2019,12.92839652,3
"57854","A89016","St Bede Medical Centre",2019,25.49360384,7
"57855","A89017","Millfield Medical Group",2019,33.96603701,9
"57856","A89018","Ashburn Medical Centre",2019,38.53452906,9
"57857","A89019","Bridge View Medical Group",2019,42.07902267,10
"57858","A89020","The Old Forge Surgery",2019,32.74148845,8
"57859","A89021","Kepier Medical Practice",2019,27.67945815,7
"57860","A89022","Concord Medical Practice",2019,26.33482209,7
"57861","A89023","Houghton Medical Group,",2019,28.23423031,7
"57862","A89024","The Broadway Medical Practice",2019,33.50949514,9
"57863","A89025","Sunderland GP Alliance Medical Practice",2019,31.36002127,8
"57864","A89026","New Washington Medical Group",2019,27.98442529,7
"57865","A89027","Springwell Medical Group",2019,34.54619445,9
"57866","A89028","Grangewood Surgery",2019,23.07776435,6
"57867","A89030","Westbourne Medical Group",2019,27.20472474,7
"57868","A89031","Hylton Medical Group",2019,32.42460492,8
"57869","A89032","New Silksworth Medical Practice",2019,24.46313427,6
"57870","A89034","Park Lane Practice",2019,28.72646999,7
"57871","A89035","Southlands Medical Group",2019,26.50622807,7
"57872","A89036","Castletown Medical Centre",2019,35.02320333,9
"57873","A89040","Monkwearmouth Health Centre",2019,27.39945903,7
"57874","A89041","Happy House Surgery",2019,35.73238728,9
"57875","A89603","Dr. R. Obonna",2019,43.89281121,10
"57876","A89604","Dr Weatherhead & Associates",2019,47.26532969,10
"57877","A89614","South Hylton Surgery",2019,30.72931824,8
"57878","A89616","Rickleton Medical Centre",2019,19.3426872,5
"57879","A89617","I J Healthcare",2019,26.65821,7
"57880","A89623","Chester Surgery",2019,27.87556852,7
"57881","B81002","Chp Ltd - Bransholme",2019,47.92311513,10
"57882","B81003","Beacon Medical",2019,24.44693676,6
"57883","B81004","Eastgate Medical Group, Hornsea",2019,20.47004724,5
"57884","B81005","The Central Surgery Barton",2019,18.70618039,5
"57885","B81006","Humber Primary Care Ltd",2019,30.63436174,8
"57886","B81007","Winterton Medical Practice",2019,17.11146918,4
"57887","B81008","East Hull Family Practice",2019,37.75500657,9
"57888","B81009","Market Weighton Group Practice",2019,9.685370794,1
"57889","B81010","Hessle Grange Medical Practice",2019,12.44083468,2
"57890","B81011","Kingston Health (Hull)",2019,38.36144194,9
"57891","B81012","Dr Ap Kumar",2019,42.13016465,10
"57892","B81013","Montague Medical Practice",2019,22.74630643,6
"57893","B81014","Practice Two",2019,33.15549234,8
"57894","B81015","Clee Medical Centre",2019,31.60039133,8
"57895","B81016","Pelham Medical Group",2019,36.5964181,9
"57896","B81017","Kingston Medical Group",2019,52.79609601,10
"57897","B81018","Orchard 2000 Group",2019,52.42807327,10
"57898","B81020","The Sutton Manor Surgery",2019,31.79551385,8
"57899","B81022","Cambridge Avenue Medical Centre",2019,19.02450216,5
"57900","B81023","The Chantry Health Group",2019,35.45883285,9
"57901","B81024","The Willerby Surgery",2019,5.162133832,1
"57902","B81025","Holderness Health",2019,35.35721233,9
"57903","B81026","Ancora Medical Practice",2019,29.24441177,8
"57904","B81027","St andrews Practice",2019,50.1110321,10
"57905","B81029","The Snaith and Rawcliffe Medical Group",2019,11.48865527,2
"57906","B81030","Scartho Medical Centre",2019,14.14669269,3
"57907","B81031","Fieldhouse Medical Group",2019,28.93477829,8
"57908","B81032","Wilberforce Surgery",2019,50.70257208,10
"57909","B81034","Leven & Beeford Medical Practice",2019,12.40203542,2
"57910","B81035","The Avenues Medical Centre",2019,25.05536855,7
"57911","B81036","Pocklington Group Practice",2019,9.882123006,1
"57912","B81037","The Park Surgery",2019,14.49184735,3
"57913","B81038","Dr Ia Galea and Partners",2019,37.61123179,9
"57914","B81039","The Roxton Practice",2019,29.05819033,8
"57915","B81040","Dr Jad Weir & Partners",2019,47.68408662,10
"57916","B81041","Gilberdyke Health Centre",2019,11.7144948,2
"57917","B81042","Manor Road Surgery",2019,10.81367561,2
"57918","B81043","South Axholme Practice",2019,11.41173903,2
"57919","B81045","Ashby Turn Primary Care Partners",2019,26.47947403,7
"57920","B81046","The Bridge Group Practice",2019,53.98658136,10
"57921","B81047","Wolseley Medical Centre",2019,45.78340611,10
"57922","B81048","Modality Partnership (Hull)",2019,31.75028066,8
"57923","B81050","Hedon Group Practice",2019,15.14190013,3
"57924","B81051","Old Fire Station Surgery",2019,10.20205912,2
"57925","B81052","Princes Medical Centre",2019,36.79824567,9
"57926","B81053","Diadem Medical Practice",2019,41.68914758,10
"57927","B81054","Clifton House Medical Centre",2019,42.8822261,10
"57928","B81055","The Lynton Practice",2019,20.80373332,5
"57929","B81056","The Springhead Medical Centre",2019,18.02311478,4
"57930","B81058","Sydenham Group Practice",2019,49.04415412,10
"57931","B81060","Field House Surgery, Bridlington",2019,35.90290316,9
"57932","B81061","The Ridings Medical Group",2019,6.60734486,1
"57933","B81062","Holderness Health (Church View Surgery)",2019,14.80021034,3
"57934","B81063","Bridge Street Surgery",2019,16.39292949,4
"57935","B81064","Church Lane Medical Centre",2019,25.50508619,7
"57936","B81065","Trent View Medical Practice",2019,19.08056813,5
"57937","B81066","East Hull Family Practice (Park HC)",2019,38.30882874,9
